what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error logged from Debug Core: ",1255807666171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807667569
error,log,,,"Error logged from Debug Core: ",1255807669449
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807669451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807671553
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807779244
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807782707
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1255807783089
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1255807783183
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807786988
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255807794673
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255807797016
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807798994
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807801993
stopped,bundle,org.eclipse.jsch.ui,1.1.200.I20090430-0408,"org.eclipse.jsch.ui",1255807808661
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1255807808779
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1255807808870
stopped,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1255807808870
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1255807809026
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1255807809090
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20090819_35x,"org.eclipse.help.webapp",1255807809170
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1255807809224
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1255807809295
stopped,bundle,org.eclipse.cdt,5.1.0.200909110608,"org.eclipse.cdt",1255807809295
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.200909110608,"org.eclipse.cdt.doc.user",1255807809295
