what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255807547670
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1255807553051
opened,editor,com.trolltech.qtcppproject,1.4.3,"com.trolltech.qtcppproject.editors.ProEditor",1255807557238
activated,editor,com.trolltech.qtcppproject,1.4.3,"com.trolltech.qtcppproject.editors.ProEditor",1255807557340
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255807561756
closed,editor,com.trolltech.qtcppproject,1.4.3,"com.trolltech.qtcppproject.editors.ProEditor",1255807561756
closed,editor,com.trolltech.qtcppproject,1.4.3,"com.trolltech.qtcppproject.editors.ProEditor",1255807563885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807582240
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1255807585824
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807585958
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255807632643
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807632644
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807638076
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1255807641171
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807647179
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255807650410
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255807652532
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807652875
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807654417
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807654702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807655061
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255807658462
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807658517
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807664091
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255807666007
