what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255863918784
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1255863931979
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255863943978
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255863945966
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1255863945967
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1255863951045
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1255863955451
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255863956901
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255863960702
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255863966887
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255863967485
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255863968651
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255863983705
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255863985679
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255863990459
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255863993206
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255863994017
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255863995078
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255863998746
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255864018954
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255864019927
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255864020881
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255864021352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255864034319
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255864041376
