what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1255634791528
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1255634791528
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634791625
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1255634794096
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634799360
activated,editor,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject.editors.ProEditor",1255634810274
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1255634812951
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1255634812951
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634813137
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1255634815138
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1255634821441
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634832012
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634834032
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634834486
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.text.rename.element",1255634866829
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634867054
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1255634869071
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634871729
activated,editor,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject.editors.ProEditor",1255634883511
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1255634885529
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1255634885529
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634885607
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1255634886587
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255634888602
activated,editor,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject.editors.ProEditor",1255634901290
