what,kind,bundleId,bundleVersion,description,time
started,bundle,com.trolltech.qtcppdesigner,1.5.2,"com.trolltech.qtcppdesigner",1255265737285
opened,view,com.trolltech.qtcppdesigner,1.5.2,"com.trolltech.qtcppdesigner.views.propertyeditorview",1255265743555
activated,perspective,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject.QtCppPerspective",1255265743646
activated,view,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.CView",1255265743651
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265743870
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265746046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265748437
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1255265764022
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1255265764161
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1255265764185
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265764308
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265765067
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265765172
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1255265773583
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1255265773625
started,bundle,org.eclipse.cdt.launch,6.0.0.200906161748,"org.eclipse.cdt.launch",1255265773711
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265773881
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265774485
error,log,,,"Error logged from Debug Core: ",1255265778410
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265778416
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265789328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265816492
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255265970100
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255266236076
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1255266242052
