what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255870990171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255870990658
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255870995899
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255870996907
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255871034950
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255871036380
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255871037884
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871038696
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871045901
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871052205
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871084234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255871103359
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255871103624
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871104289
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871105151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871115398
error,log,,,"Error logged from Debug Core: ",1255871130807
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871130808
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871132403
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871134455
error,log,,,"Error logged from Debug Core: ",1255871134597
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871138263
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871157557
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1255871167739
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1255871168076
