what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1255631874317
locale,sysinfo,,,"en_GB",1255631874317
processors,sysinfo,,,"4",1255631874319
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1255631874319
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1255631874319
java.specification.name,sysinfo,,,"Java Platform API Specification",1255631874319
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255631874319
java.specification.version,sysinfo,,,"1.6",1255631874319
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1255631874319
java.version,sysinfo,,,"1.6.0_0",1255631874319
java.vm.info,sysinfo,,,"mixed mode",1255631874319
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1255631874319
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1255631874319
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255631874319
java.vm.specification.version,sysinfo,,,"1.0",1255631874319
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1255631874319
java.vm.version,sysinfo,,,"14.0-b08",1255631874319
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1255631874436
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1255631874511
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1255631874763
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1255631874828
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1255631874865
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1255631874876
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1255631874975
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1255631875008
