what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809850179
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255809855760
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255809855933
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255809860068
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255809860791
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809861482
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809865500
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255809875550
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255809875864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809876659
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809880688
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255809883402
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255809883670
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255809889817
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255809890029
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255809900551
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255809904012
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809904706
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809905397
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255809910002
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255809910199
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809911230
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255809912951
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1255809933621
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1255809934503
