what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error logged from Debug Core: ",1255869285531
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255869340930
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255869364547
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869375559
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869425184
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255869442290
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1255869458345
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255869459967
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1255869468351
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255869469623
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1255869498021
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1255869498345
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255869498555
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255869502129
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869502971
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869503746
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255869516760
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255869518117
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869518941
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869519618
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869525854
error,log,,,"Error logged from Debug Core: ",1255869540225
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255869541491
error,log,,,"Error logged from Debug Core: ",1255869541604
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255869548095
