what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255871526581
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255871528848
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871529533
error,log,,,"Error logged from Debug Core: ",1255871532463
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871532538
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871533665
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871535518
error,log,,,"Error logged from Debug Core: ",1255871535524
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871541169
error,log,,,"Error logged from Debug Core: ",1255871548420
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871549882
error,log,,,"Error logged from Debug Core: ",1255871549981
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255871557557
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255871557878
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1255871566039
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255871580316
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1255871588325
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255871592189
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1255871594414
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1255871595819
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255871600956
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255871602588
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1255871604600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871605145
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255871605874
